,Código Necesidad,Fecha_Public,Provincia,Descripción Necesidad,Status,Fecha limite,EntidadContrato,Dir_Entrega,Contacto
0,NIC-1560500590001-2021-40040,2021-09-15 10:20:00,ORELLANA - FRANCISCO DE ORELLANA,ADQUISICIÓN DE MEDICAMENTOS PARA EL HOSPITAL GENERAL FRANCISCO DE ORELLANA,En Curso,2021-09-20 10:15:00,HOSPITAL GENERAL FRANCISCO DE ORELLANA,"BARRIO EL MORETAL, CALLE ARAZA Y PALMITO A 500 METROS DE LA EMPRESA ELECTRICA","Funcionario Encargado: PATRICIA VELEZ
Email: servicios2018hfo@hotmail.com"
1,NIC-1768114390001-2021-40018,2021-09-15 10:18:00,PICHINCHA - QUITO,ADQUISICIÓN DEL LOS REPUESTOS DEL HELICÓPTERO ROBINSON R44 DE MATRICULA PN-144,En Curso,2021-09-17 10:18:00,UNIDAD NACIONAL AEROPOLICIAL,UNIDAD NACIONAL AEROPOLICIAL EN LA CALLE RAFAEL AULESTIA Y EMPERATRIZ ISABEL AL INTERIOR DEL PARQUE BICENTENARIO,"Funcionario Encargado: SAMARA SULAY CABRERA SALAZAR
Email: compras.publicas.sap@gmail.com"
2,NIC-1865000590001-2021-40060,2021-09-15 10:16:00,TUNGURAHUA - SAN PEDRO DE PELILEO,ADQUISICIÓN DE NC. TIRA REACTIVA PARA MEDICIÓN DE GLUCOSA UTILIZADO EN EL SERVICIO DE CONSULTA EXTERNA PARA EL DISTRITO 18D04 PATATE - SAN PEDRO DE PE,En Curso,2021-09-17 12:20:00,DIRECCION DISTRITAL 18D04-PATATE-SANPEDRO DE PELILEO-SALUD,"Dirección Distrital 18D04 Patate-San Pedro de Pelileo Salud, Provincia de Tungurahua, cantón Pelileo, Parroquia Benítez Calle Juan Montalvo s/n y Eugenio Espejo teléfonos 032765324.0988207536","Funcionario Encargado: Ing. Vanessa Ordoñez
Email: compraspublicas18d04s@gmail.com"
3,NIC-1768182120001-2021-40370,2021-09-15 10:16:00,PICHINCHA - QUITO,CNMB. ADQUISICIÓN DE MEDICAMENTOS ANTIEPILÉPTICOS PARA EL HGONA,Finalizada,2021-09-16 10:20:00,HOSPITAL GÍNECO OBSTÉTRICO PEDIÁTRICO DE NUEVA AURORA LUZ ELENA ARISMENDI,AV. QUITUMBE ÑAN Y QUILLA ÑAN,"Funcionario Encargado: RICARDO VEINTIMILLA
Email: ricardo.veintimilla@hgona.gob.ec"
4,NIC-1768048660001-2021-40018,2021-09-15 10:15:00,SANTA ELENA - LA LIBERTAD,ALQUILER DE UNA EMPRESA PRIVADA QUE TRASLADE VEHICULOS Y MOTOCICLETAS DESDE SANTA ELENA A SALINAS,En Curso,2021-09-21 09:15:00,DIRECCION NACIONAL DE LA POLICIA JUDICIAL,Zona industrial AV. 9 S/N y calle 50,"Funcionario Encargado: Herrera Galán Rodrigo Hernán
Email: veropetu2010@gmail.com"
5,NIC-1160062190001-2021-40040,2021-09-15 10:15:00,LOJA - CATAMAYO,"CONTRATACIÓN DE PÓLIZAS DE SEGUROS DE VEHÍCULOS LIVIANOS, PESADOS Y MOTOS DEL CUERPO DE BOMBEROS DEL CANTON CATAMAYO",En Curso,2021-09-17 10:20:00,Cuerpo de bomberos del Cantón Catamayo,calle Eugenio Espejo y 18 de Agosto,"Funcionario Encargado: Jonathan Aguirre
Email: bomberos_catamayo@hotmail.com"
6,NIC-1768056410001-2021-40109,2021-09-15 10:15:00,PICHINCHA - QUITO,CEFUROXIMA SOLIDO PERENTERAL 750MG,En Curso,2021-09-17 12:00:00,Hospital Quito No.1 de la Policia Nacional,AV. MARIANA DE JESUS Y AV. OCCIDENTAL,"Funcionario Encargado: DR. FREDY CABRERA
Email: wendybarreraoperadorahqcp@gmail.com"
7,NIC-1360031350001-2021-40022,2021-09-15 10:15:00,MANABI - JIPIJAPA,"SERVICIO DE MANTENIMIENTO DE EXTINTORES PARA LA UNIDAD DE SEGURIDAD Y SALUD OCUPACIONAL DE LA UNIVERSIDAD ESTATAL DEL SUR DE MANABI,AÑO 2021",Finalizada,2021-09-16 10:30:00,Universidad Estatal del Sur de Manabí,"KM 1 1/2 VIA NOBOA,CAMPUS LOS ANGELES","Funcionario Encargado: CESAR FABIAN VEGA CEVALLOS
Email: compraspublicas@unesum.edu.ec"
8,NIC-1560500590001-2021-40036,2021-09-15 10:15:00,ORELLANA - FRANCISCO DE ORELLANA,ADQUISICIÓN DE PRUEBAS RAPIDAS DE HEPATITIS PARA LA UNIDAD DE LABORATORIO CLÍNICO DEL HOSPITAL FRANCISCO DE ORELLANA,Finalizada,2021-09-17 09:53:00,HOSPITAL GENERAL FRANCISCO DE ORELLANA,"BARRIO EL MORETAL, CALLE ARAZA Y PALMITO A 500 METROS DE LA EMPRESA ELECTRICA","Funcionario Encargado: JANETH ZAMBRANO
Email: servicios2018hfo@hotmail.com"
9,NIC-1768033550001-2021-40111,2021-09-15 10:13:00,PICHINCHA - QUITO,Adquisición de Agua para inyección 250 mL Liquido parenteral V07AB00,Finalizada,2021-09-17 10:08:00,HOSPITAL PROVINCIAL GENERAL PABLO ARTURO SUAREZ,Angel Ludeña Oe52-61 y Machala,"Funcionario Encargado: Ing. Jaqueline Garay Avecillas
Email: jaqueline.garay@hpas.gob.ec"
